Asc	Asp	Cr	CrCH2	GABA	GPC	GSH	Gln	Glu	mI	Lac	NAA	NAAG	PCh	PCr	PE	sI	Tau	MM09	MM12	MM14	MM17	MM20	Lip09	Lip13	Lip20	tNAA	Glx	tCho	tCr	GABAplus
0.0382488617531342	0	0	0	0.10209482436017	0	0.702568841187686	0.534674748502823	0.749452949817977	0.102297342144429	0.00401253418197918	0.0026865375868694	0.0578758088640365	0	0	0	0.00968851907099701	0.0354650936915958	0.257373328147157	0	0	0	0	1.36294786176966e-18	0	0	0.0605623464509059	1.2841276983208	0	0	0.359468152507328
0.0111193938791898	0.353106892001796	0.0229011845689136	0.000246678865642316	0	0	0.686704589347118	1.03665452226215	0.751832271373699	0.0455321729148107	0.00788730024775262	0.849259071508061	0.002737615236738	0.00936355730416537	0.019099215710911	0.00352440595186917	0.000740654595805498	0	0.324258625985525	0	0.0977475335649108	0.0558812766271388	0	3.7250859015475e-17	5.85189278251121e-18	0	0.851996686744799	1.78848679363585	0.00936355730416537	0.0420004002798245	0.324258625985525
0.160936766005743	1.05877430373407	0	0.0159149612421499	0.108517497753743	0	0.650222307712331	0	1.22460969705571	0.216115931201243	0	0.00663325783751941	0	0	0	0	0.0293392689544113	0.0987516587758168	0.243118825707282	0	0.00154658719774666	0	0	8.0857223176719e-18	0	0	0.00663325783751941	1.22460969705571	0	0	0.351636323461025
0.00653478444957913	0.0667831164043702	0.0222545626537492	1.95831885745539e-05	0.047713449394363	0	0.348124780583795	0.392625756313862	0.943674684947478	0.0193406913579203	0.0135367743296509	0.0152126608078339	0	0	0.00711576002465902	0	0	0	0.21659076859062	0	0	0	0	0	5.29441356729863e-18	7.37720024303293e-18	0.0152126608078339	1.33630044126134	0	0.0293703226784082	0.264304217984982
0	0	0	0.0176666758652507	0.0800057062754375	0	0.550180968196634	0.237620775971493	1.22461698357376	0.113337278532968	0	0.010104943767266	0	0	0	0	0	0	0.285720718357156	0	0	0	0	6.11947360635609e-18	0	0	0.010104943767266	1.46223775954525	0	0	0.365726424632593
0.000816788804458965	0.0408835605938161	0.033141027555315	0	0.0799511002028305	0	1.07692425095726	0.59656681963319	0.400619245881795	0.0351569621354712	0.000885074698784636	0.0508821934320017	0.0328692304522977	0	0.0450985420185216	0	0.0046201650904701	0	0.218676236562961	0	0	0	0	0	1.31995389274047e-18	5.634058408982e-18	0.0837514238842994	0.997186065514985	0	0.0782395695738366	0.298627336765791
0	0.321770834250028	0	0	0.0710236497376969	0	0.721157227113005	0	1.14921332304719	0.232841996876176	0.304258632384684	0	0	0	0.00830576400504214	0	0.0179243392169471	0.131292373830467	0.335059340024939	0	0	0	0	0	3.28160825007638e-18	0	0	1.14921332304719	0	0.00830576400504214	0.406082989762636
0.105960622429754	0.324962148683816	0.0825753063167745	0	0.140629162121694	0	0.67226909293598	0	1.67390726450698	0.0633317541289024	0.111341174513003	0.0204255228728234	0.148897163938361	0	0.0828691678714441	0	0.00798006157344252	0.0561567195236773	0.217826152693359	0	0	0.000902840749509668	0	1.26860204177656e-17	4.03787111548576e-18	0	0.169322686811185	1.67390726450698	0	0.165444474188219	0.358455314815053
0	0.0985287950232087	0.990546052305358	0.00450231075052179	0	1.5767160950516	0.0933649102019956	0	0.132826974101783	1.15555692484226	0.00673882265243253	0	0.112460005897538	2.09022281123958	1.03542406832454	0	0	0.284179112546383	0.0239689775077789	0	0	0	0	0	0	8.24383900792921e-19	0.112460005897538	0.132826974101783	3.66693890629118	2.0259701206299	0.0239689775077789
0	0.316497994612454	0.280103915473318	0.00918611921595862	0.0647096072432557	0.16415088374703	0.680111585343175	0.450877891956872	1.09920076755579	0.0493759822824899	0.195062765423895	0.154282636697486	0.00111082717182922	0.229170075706188	0.284295419857075	0	0.0168744135596446	0.00903939059333166	0.230591243410839	0	0.00282503745051303	0	0	0	2.91561565920123e-18	0	0.155393463869315	1.55007865951266	0.393320959453218	0.564399335330393	0.295300850654095
0	0	0	0.00217647734068496	0.131431537263542	0.806934657160535	0.614387000985085	0.0166664535072274	0.834234502360677	0.448000153810541	0	0.0197532651975849	1.60488681195161	0.905512798417081	0	0.744032434515133	0	0	0.216488441206326	0	0	0	0	8.34664404290825e-18	7.62661643419696e-18	0	1.62464007714919	0.850900955867904	1.71244745557762	0	0.347919978469867
0	0.110447303983106	0	0	0.137628760007792	0	0.457712116091315	0.423757874634176	1.17545036529332	0.0859685292296095	0	0.00376096106797366	0	0	0	0	0.0152952510281313	0.143279823288843	0.247597302667656	0.0101807073580503	0.0120926643554571	0	0	1.65354072550683e-18	2.25945927598185e-18	0	0.00376096106797366	1.5992082399275	0	0	0.385226062675448
