Asc	Asp	Cr	CrCH2	GABA	GPC	GSH	Gln	Glu	mI	Lac	NAA	NAAG	PCh	PCr	PE	sI	Tau	MM09	MM12	MM14	MM17	MM20	Lip09	Lip13	Lip20	tNAA	Glx	tCho	tCr	GABAplus
0.0856204184301079	0.452604296720348	0	0	0.354254019016529	0	2.43695241992826	3.44054674032473	0.664671477200344	0.514145979636394	0.128609517098078	0.433172723455838	0.00725498003292855	0	0	0.00091356924533031	0	0.237030569173057	1.72810820059431	0	0.778247119078714	0	0	0	7.26407386269636e-18	2.49603621297723e-17	0.440427703488767	4.10521821752507	0	0	2.08236221961084
0.0887596051578353	0.2156169294643	0	0	0.420907633605401	0	3.75087970658696	5.0495184185573	0.246509751074024	0.402228925651175	0.260236487602869	0.0387843709240826	0.444809490804666	0	0.0102150135667025	0	0.010611359703758	0.309963995186504	1.64305765756173	0	0	0	0	1.14183602332684e-16	2.88530402067402e-16	0	0.483593861728749	5.29602816963133	0	0.0102150135667025	2.06396529116713
0	0.481962567067442	0.0157260067317094	0	0.37685060602802	1.83740354251562e-06	3.09333067020262	4.33565645358566	0.863099398992931	0.319457848442719	0.285638797608007	0.0218568172203376	0	0	0	0	0.0590908271360187	0.365685840336267	1.59939609972117	0.02750970584726	0	0.0225506843968981	0	0	6.51159655895233e-19	0	0.0218568172203376	5.19875585257859	1.83740354251562e-06	0.0157260067317094	1.97624670574919
0	0.730108305889157	0	0.00264319532798156	0.513509121427093	0	7.49412330716047	1.41632867373724	0	0.24886130407478	0	0	0.0635754940223849	0	0	0.0179214561154733	0.0153076241669654	0.37848730356033	1.55730624483358	0	0	0	0	0	1.86959036113997e-17	0	0.0635754940223849	1.41632867373724	0	0	2.07081536626067
0	0.548694154754417	0.0572466790584583	0	0.420547640885568	0	4.7378500973345	1.95671725229514	0	1.8445690990419	0.632790890443308	0.108060483743659	0.152840164812218	0	0.0398412635113202	0	0.0877970968051477	0	1.47003642420586	0	0	0.0334102012925592	0	0	0	2.42118874358445e-17	0.260900648555877	1.95671725229514	0	0.0970879425697785	1.89058406509142
0.0311324198608826	0.49793278175465	0.00392407328715247	0	0.0547943691475343	0	2.70175406925354	2.81428819728735	0.916050943905332	0.764452755472365	0.0560619679842081	0.00951981892485116	0.48007575611485	0	0	0.389815428139839	0.0178635543752594	0.523409039336677	2.46637795785225	0	0.0683554919840006	0	0	0	4.12330598954313e-17	0	0.489595575039701	3.73033914119268	0	0.00392407328715247	2.52117232699978
0	0.0423769569905931	0	0.00191360946216229	0.319343962394547	0.00934618429425368	3.59201524597106	3.0691480716582	0.0531554930842735	0.154651576626915	0.572156856153589	0.0108883911044851	0	0.00824920294085108	0	0.00720962554938154	0.00112430179277533	0.0772361666001608	1.48178506040032	0	0	0	0.678594851427833	2.40107336333584e-17	4.73289426755688e-17	3.06102750374161e-17	0.0108883911044851	3.12230356474247	0.0175953872351048	0	1.80112902279487
0.0263630159914007	0.122138616078733	0.00400916749136336	0.700145627964272	0.362236102740268	7.09633437564804e-05	2.7938683549728	2.92775103896456	0	0.13727123245724	0.343710003813234	0	0.128301990371399	0	0.0857890305392778	0	0.00388421695877319	0	1.36458329376635	0	0	0	0	6.80581208007894e-17	4.76181122332953e-17	0	0.128301990371399	2.92775103896456	7.09633437564804e-05	0.0897981980306412	1.72681939650662
0.0114262699287655	0.0509892270630913	0.00118634710956086	0.0101748926792615	0.486931032633886	0.000239233309391694	2.90889422554442	3.06884695236543	2.36489800764984	0.125546242639289	0.144597791649302	0.0597322095597118	0.215017726135024	0	0	0	0.0226921804647727	0	1.60662561068132	0	0	0	0.0102217544354062	2.12259273933966e-18	0	0	0.274749935694736	5.43374496001527	0.000239233309391694	0.00118634710956086	2.0935566433152
0	0.0511209731282588	0	0	0.920268724151796	0	10.1586987517768	0.00133598025501942	0.00250538422568425	0.710789310859704	0.683889804430721	0.0679859635433941	0	0	0	0	0.0283639801262805	0.14356381003349	1.61037573794007	0	0	0	0	7.97780786091312e-18	2.39645086185883e-17	0	0.0679859635433941	0.00384136448070367	0	0	2.53064446209187
0	0.0745287441882232	0.000994436869655706	0	0.49921656931905	0	8.1418963681411	0.269802784478205	0	0.165348385396231	0	0.0188052419400258	0.428322341809591	0.691684051129244	0	0	0.00208074472432118	0.0753019503174127	1.53251689249485	0	0	0	0	1.98106546337409e-17	0	1.7760432733807e-17	0.447127583749617	0.269802784478205	0.691684051129244	0.000994436869655706	2.0317334618139
0.100463930860476	0	0	0.0172356329707345	0.553987700370206	0.0296106781624332	3.88779560793337	2.98600934736307	2.30826483479031	0.5054057872839	0.137681014680869	0.0212002533124775	0.396662339493241	0.0399375869465233	0	0	0.0141713592098029	0.0481221890977573	1.919388573782	0	0	0	0	0	0	0	0.417862592805719	5.29427418215338	0.0695482651089565	0	2.47337627415221
