Asc	Asp	Cr	CrCH2	GABA	GPC	GSH	Gln	Glu	mI	Lac	NAA	NAAG	PCh	PCr	PE	sI	Tau	MM09	MM12	MM14	MM17	MM20	Lip09	Lip13	Lip20	tNAA	Glx	tCho	tCr	GABAplus
0.0162795385605087	0	0	0.00305679619747967	0.073756579386116	0	0.195991243431078	0.719101300619645	0.484286555998627	0.186936810548148	0.176994937032297	0.000349691073391575	0	0	0	0.0645436899964936	0.012424220542911	0.0314968449758636	0.178480196148712	0	0	0.00273874164352318	0	0	5.22502034409597e-19	0	0.000349691073391575	1.20338785661827	0	0	0.252236775534828
0.0278597869596052	0.127085765962651	0	0.00920905960266069	0.119031666648566	0	0.25256455610261	0.667661838430699	0.606462872674116	0.2756878771092	0.109236383804619	0.00402714187440161	0.143328947693149	0	0	0.0936011735927561	0.0200068396959324	0	0.185060451533657	0	0	0	0	0	0	3.34084798204388e-18	0.147356089567551	1.27412471110481	0	0	0.304092118182223
0	0.137765446302155	0	0.00502427088304824	0.0782194624964919	0	0.433717083408051	0.0958368221107378	0.830602940836026	0.541382218039772	0	0.00018421607462831	0	0	0	0.0460763369122985	0.0157151686922833	0.261579370555079	0.145008145754235	0	0	0	0	1.39699395722593e-18	2.36735588344876e-19	1.59512838411648e-18	0.00018421607462831	0.926439762946764	0	0	0.223227608250726
0	0	0.0240218368652222	0	0.0574031747466245	0	0.429832379060558	0.216911651483812	0.849656785973085	0.163284489053758	0.144010512924331	0.0350219992743819	0	0	0.0459787059923804	0.0516776715681409	0.0145037889316266	0	0.171183591207116	0	0	0	0	0	1.24561418349254e-19	0	0.0350219992743819	1.0665684374569	0	0.0700005428576026	0.228586765953741
0.0121417072041026	0.0861472079670498	0	0.0095916642249718	0.0921750186644607	0	0.216260943463627	1.19517042714969	0.10700903711063	0.613021105468836	0.266263313637386	0.000606824157521768	0	0	0	0.0726102006738737	0.00539618311724764	0.311578537480178	0.155396881170041	0	0	0	0	5.41187801404706e-19	0	2.09829338435618e-18	0.000606824157521768	1.30217946426032	0	0	0.247571899834502
0	0.0509033473050084	0	0.00192435548339525	0.153797349818616	0	0.160626658732663	1.21211616792461	0	0.527921855989192	0	0	0.00412280611404233	0	0	0	0	0.254433594431335	0.172443214889712	0	0.0257848698046742	0	0	5.62390912459887e-18	1.50106923819761e-18	4.59796176224651e-18	0.00412280611404233	1.21211616792461	0	0	0.326240564708328
0	0.14413368795746	0	0.00496235844135686	0.0489208296528627	0.136770231711848	0.463537332518414	0.356533237761975	0.516182675495471	0.310656696941507	0.0187059083674649	0.0160390474986448	0	0.101681484634604	0	0	0.0156433574497347	0	0.149280039475473	0	0	0	0	0	8.88069781329303e-20	7.5596052019898e-20	0.0160390474986448	0.872715913257447	0.238451716346452	0	0.198200869128336
0	0.293725106641613	0	0.0216501610833342	0.101670527259337	0.00134875982454316	0.303928624154747	0.616707962435206	0.308426215953943	1.07432049431335	0.291999243876651	0.0548728720851373	0.479175759293854	0	0	0	0	0.494035913683339	0.143119218933821	0	0	0	0	0	0	2.0648287941744e-19	0.534048631378991	0.925134178389149	0.00134875982454316	0	0.244789746193158
0.0046206746296833	0.14852417383649	0	0.00866390416539211	0.0458662941297927	0.211777346257383	0.124626592074252	0.391832115972282	0.920126250967418	0.163207939352393	0	0.00268317379863559	0.13624120047546	0.0565136295689956	0	0	0.0244757175403873	0	0.180031396246923	0	0	0	0	1.13883811136351e-18	0	1.21982580192373e-18	0.138924374274096	1.3119583669397	0.268290975826378	0	0.225897690376715
0	0	0	0	0.0622362043617697	0	0.688353649737185	0.419011314597748	0.375199421422426	0.317021353183972	0.257825357220857	0.0254888135324159	1.8269268471547e-07	0	0.0540051692081302	0	0.0101561854469283	0.0635015702656589	0.15630307119913	0.00537955665848916	0	0	0	1.03970889675588e-18	5.05823611136269e-19	0	0.0254889962251006	0.794210736020174	0	0.0540051692081302	0.2185392755609
0.000327644448209659	0.00284165886277931	0	0.00345139723545818	0.110680408797502	0	0.271332653340194	0.519902106175547	0.516355108009131	0.108990053147525	0.0226236465257474	0.00049474263919628	0	0	0	0	0	0.104239848527688	0.151198075076273	0	0	0	0	7.84487267487627e-19	0	7.038601614622e-18	0.00049474263919628	1.03625721418468	0	0	0.261878483873776
0.0191043382526594	0.00298231333379298	0	0.00911653548095418	0.089204116351193	0.150065530905901	0.0911123099268825	0.55985893462503	0.608259425087943	0.337965816107802	0.178165612870269	0.000472436648740271	0.180406537571777	0.0863985311526351	0	0	0.00921406562934519	0.10772821546512	0.15219860123636	0	0	0	0	0	1.25707723013439e-18	0	0.180878974220518	1.16811835971297	0.236464062058536	0	0.241402717587553
